#{"t_start": 1582834890.839442, "env_id": "nailbot-v0"}
r,l,t
36.803637,11,2021.675919
35.125292,11,2023.004161
24.782533,11,2024.210016
15.204092,11,2025.456366
22.494128,11,2026.763346
33.379494,11,2028.004432
28.991312,11,2029.258259
18.908814,11,2030.478598
27.556134,11,2031.736334
33.064328,11,2033.023141
31.855548,11,2034.319334
31.007897,11,2035.573551
38.138763,11,2036.63376
36.695932,11,2037.916371
27.081193,11,2039.231779
31.82879,11,2040.414433
24.463245,11,2041.468739
16.280121,11,2042.540854
32.940838,11,2043.786718
16.834369,11,2045.01451
28.579709,11,2046.290288
16.60766,11,2047.523667
37.945262,11,2048.759218
15.73151,11,2050.023445
30.175978,11,2051.407645
29.624163,11,2052.601063
21.541541,11,2053.785361
40.302085,11,2054.823286
23.610373,11,2056.044669
44.087195,11,2057.315505
31.917842,11,2058.53769
37.422945,11,2059.636159
16.176198,11,2060.663464
30.042723,11,2061.801507
12.241667,11,2062.963712
22.007318,11,2064.17261
29.8108,11,2065.402923
12.171239,11,2066.559938
31.382534,11,2067.780175
32.615672,11,2068.984104
25.078589,11,2070.272711
26.784833,11,2071.489206
36.843241,11,2072.671544
19.158763,11,2073.853234
31.66596,11,2074.945163
35.231006,11,2076.211352
35.150205,11,2077.337911
18.757411,11,2078.578102
31.481988,11,2080.051354
34.56139,11,2081.085951
37.504223,11,2082.300536
27.417116,11,2083.379749
32.160727,11,2084.682216
34.251395,11,2085.936347
33.901544,11,2087.186921
124.784887,11,2088.412361
25.868296,11,2089.613317
20.265481,11,2090.844609
26.462924,11,2092.098329
17.488382,11,2093.394423
25.045762,11,2094.438218
22.385839,11,2095.635235
37.635485,11,2096.661017
22.757794,11,2097.916311
16.464123,11,2099.103369
11.780081,11,2100.229038
28.653264,11,2101.478351
27.014094,11,2102.655668
37.218307,11,2103.942442
19.638129,11,2105.181204
29.085835,11,2106.330495
20.669279,11,2107.703517
14.587407,11,2108.938818
21.021804,11,2110.208854
13.614349,11,2111.400205
18.350355,11,2112.639387
28.534342,11,2113.912716
16.907766,11,2115.169585
25.54945,11,2116.357206
24.94804,11,2117.599005
33.85898,11,2118.625144
11.379909,11,2119.650206
32.79399,11,2120.770228
36.64033,11,2121.747708
37.884224,11,2123.090639
12.848566,11,2124.33517
41.53562,11,2125.718199
19.357853,11,2126.958455
34.921618,11,2128.244044
36.313186,11,2129.55168
14.842785,11,2130.764912
19.782477,11,2131.993119
10.809096,11,2133.230259
134.627374,11,2134.419502
28.847223,11,2135.760098
33.979605,11,2136.892793
20.475419,11,2137.902578
36.5258,11,2139.052496
14.997442,11,2140.050817
19.535123,11,2141.146852
24.752625,11,2142.284701
22.557196,11,2143.494663
24.390993,11,2144.69118
12.952674,11,2145.939044
25.279848,11,2147.181818
32.633184,11,2148.501216
28.757841,11,2149.793012
38.836744,11,2151.103329
15.80421,11,2152.250391
15.654892,11,2153.441499
23.435175,11,2154.550371
21.316385,11,2155.773745
30.937562,11,2157.074825
31.097474,11,2158.347094
25.970109,11,2159.462152
28.36537,11,2160.559343
37.219562,11,2161.64975
33.387217,11,2162.690809
27.612653,11,2163.990155
28.649799,11,2165.278216
21.176345,11,2166.525199
18.512167,11,2167.782561
36.71533,11,2169.008857
32.5358,11,2170.289101
21.082154,11,2171.514492
29.264014,11,2172.7292
29.0623,11,2173.955875
31.291652,11,2175.262197
13.029536,11,2176.42079
35.059815,11,2177.684561
13.840961,11,2178.901782
29.539583,11,2180.128554
